"topic","id"
"Nonalcoholic Steatohepatitis","5e360722-a985-4ae5-988e-de9e7d54d912"
"On this page:","d04f5e59-1652-4242-ae06-e8897833cc16"
"Diagnosis","8d09e8e9-705d-45e6-a71c-e0756122df82"
"Symptoms","98a01096-26b7-4237-9297-651f9c6c11f1"
"Causes","53e8b4f2-72d6-46b2-808a-1bdd392e0739"
"Treatment","35faefc4-dd60-4a45-b345-6d0dffaba9c0"
"Hope through Research","9a8dbd51-a125-414d-bc41-adba289855a3"
"Points to Remember","49cd2073-b952-4629-9a2e-bd46a946fbb2"
"For More Information","d0e65cc5-c66e-437c-ab68-8c03ab1df522"
"American Liver Foundation","d76a0ed9-e5be-4092-bc3a-ae5b7c6ba09a"
"National Digestive Diseases Information Clearinghouse","70583f6c-39bc-48bf-9eba-8874bad985a2"
"Short Bowel Syndrome","85d37950-9603-4168-9ea7-5c67a316a80c"
"On this page:","47885bc6-7768-4216-8e43-850bf9b5b161"
"What is short bowel syndrome?","221b09de-c8e3-4f2a-8344-f211eac7885c"
"What causes short bowel syndrome?","76a254cd-5a4f-40dc-a4d3-e10bb358cf18"
"What are the signs and symptoms of short bowel syndrome?","758c46d0-d786-4472-b4db-2aca9e9ba24d"
"How is short bowel syndrome treated?","d979c6e3-f890-45b7-aa8d-ac46d702619d"
"What is intestinal adaptation?","1dee8822-3551-4f9b-95e8-3e2246642244"
"Points to Remember","4be6738f-789f-4107-9520-fd4216ad9588"
"Hope through Research","c4c2c8af-5740-4424-9d87-b54b174bde8e"
"For More Information","06f29d5a-4543-4241-b63f-fbbe2fd28793"
"Crohn's & Colitis Foundation of America","af5fbe02-987b-404b-831f-79f4031e373d"
"The Oley Foundation","a704d123-be0a-4e3a-9adb-d18beadf64fb"
"Acknowledgments","208493dc-a4fb-4a2e-b3f1-3fcf48d258d6"
"National Digestive Diseases Information Clearinghouse","d168692c-b715-4349-b39b-a73c467ce69b"
"Testing for Celiac Disease","92f6155a-e452-4528-a18f-7c1e6db7bb8e"
"On this page:","d3f0ffee-35f9-4e8c-9464-f090f74de182"
"Serologic Tests","c2461895-8af7-47e5-bf92-2880a3a45b10"
"tTG","26a313ff-ae61-4d3f-8b7c-5295cd68886b"
"EMA","5ca0cc01-5d1a-4190-9525-79eb2c376069"
"DGP","694f8184-ff9a-4dfc-9c50-6c7eae14623c"
"IgA Deficiency","38986d00-934b-4b18-9e16-7243e55ad750"
"Genetic Screening Tests","e78b4f73-23f8-4b30-aeb1-0d0a2bfb68b0"
"References","724c87c9-c1ce-4b9c-9f52-64ef73644494"
"Acknowledgments","c0e5cfbf-71ba-4901-b3cc-7ce870d43745"
"The Celiac Disease Awareness Campaign","d1752309-7b60-4552-9289-96099ef1125e"
"Celiac Disease Awareness Campaign","3f7ce55c-66b4-4727-836c-03e730eca0fa"
"Dermatitis Herpetiformis: Skin Manifestation of Celiac Disease","6d4895d9-a6d9-430e-b4b0-56cb9b5d8d8f"
"On this page:","aaa9b6f3-b63c-4c06-a258-851e4063a388"
"Symptoms","2164a0b1-0344-4a5f-8fdd-8cc542dfa385"
"Causes","e9d9ed62-41c2-4f7a-9247-fa5a14303e9e"
"Diagnosis","1ec48ac3-ee7f-4a54-999f-506344b0bce3"
"Treatment","6741cb44-2210-4182-81b9-6ca53f7eda67"
"References","8ed2dbbe-e2fe-439a-b51e-1db7352156c2"
"","76b4db28-73d9-4204-bb45-0f8d0199a613"
"","ff1254fc-28ce-4ddd-b05c-c9c91b2b924a"
"","988d811d-05e3-4805-b992-cf0fdb79cabe"
"Indigestion","c1fb972e-4eb1-482b-8b5c-ce7944d815ac"
"On this page:","7d69b2a5-e5fd-4b8a-88c9-af9e7c6d451f"
"What is indigestion?","e4dc2550-d1d9-4256-b15e-bf6228abc855"
"What causes indigestion?","b8e495de-f80a-45a0-b873-7ae648bdf922"
"What are the symptoms of indigestion?","fc5a48f7-9323-4af3-bf10-f6ba5d3a1241"
"How is indigestion diagnosed?","7d1c0aee-e180-4a72-9fb4-93f5d7d7e3d5"
"How is indigestion treated?","2edfff6c-a4fb-4c6d-9943-8783b73d1276"
"Points to Remember","cc78f6cd-bcef-4825-9976-ead57aec9a0f"
"Hope through Research","38720a46-dd81-4f45-b0d9-651124579a9a"
"For More Information","b54e6c83-e82c-486e-b800-b1a0a0099857"
"American Gastroenterological Association","6f583be7-7b5b-4b8b-96ce-8485f4e27168"
"International Foundation for Functional Gastrointestinal Disorders","302d6822-9bab-467e-b533-58c345e6b17b"
"National Digestive Diseases Information Clearinghouse","1407baae-dc3d-4be1-84b3-6d5fede9fb0d"
"Primary Sclerosing Cholangitis","dfbe2229-c15f-4944-bb5d-0be430f21c8f"
"On this page:","b3862c4c-12a9-4d7f-8c93-2736692c6b29"
"What is primary sclerosing cholangitis (PSC)?","d46d7e91-b4e1-40a4-9ee3-8c71d5f904d2"
"What causes PSC?","cdacc12b-2a33-43c9-b441-d007c7f16d10"
"Who gets PSC?","45a19b33-cd6a-48e9-8bac-d314cd53edf8"
"What are the symptoms of PSC?","7e0141fa-658a-41c2-94d9-47a0d776d32e"
"What are the complications of PSC?","69867f3d-1901-41ae-a061-cf5aa65ad3be"
"How is PSC diagnosed?","f994b5f9-d882-4b73-9f7a-7cd3c9c11938"
"Endoscopic retrograde cholangiopancreatography (ERCP).","eed15e88-5329-4487-a400-8dd2d57f5148"
"Percutaneous transhepatic cholangiography.","9e810958-49b5-4662-8923-e89200e86aad"
"How is PSC treated?","30a6bc68-3c0a-4ca7-b1bc-3ab17717ac4d"
"Points to Remember","f5e10491-0f2b-4648-b896-986174bb947e"
"Hope through Research","8452b17f-1116-4309-942d-aca4c5c8c818"
"For More Information","532a4baf-57d5-419d-8622-568dd8659fe4"
"American Liver Foundation","c9f89d81-46dc-4558-ba6d-98ee0617b21e"
"National Digestive Diseases Information Clearinghouse","d64481e2-bbcd-4558-86c6-f702033ceb0f"
"Hemorrhoids","d9ef45f4-63db-4ade-ae88-458492134530"
"On this page:","358fa176-5b88-45c4-b438-a9a945918ad9"
"What are hemorrhoids?","bfcc254f-8e86-4b82-b5f9-4690ee8f8349"
"What are the symptoms of hemorrhoids?","0b64993c-fabd-4a7e-9337-e7cb5005ac4e"
"How common are hemorrhoids?","9f0a2458-1bb0-437e-863e-54f06f252101"
"What causes hemorrhoids?","e8ef180e-b84b-4bd8-b2a4-3ae3bbf9f1c5"
"How are hemorrhoids diagnosed?","62d366fa-bfbf-4dce-a78e-dafd90a77209"
"How are hemorrhoids treated?","d33dd7b6-497b-49e9-90ff-1c712ce68c8f"
"At-home Treatments","6a5e57bb-4d1b-4cc2-84c8-89ef951efc05"
"Medical Treatment","75195b2a-6cef-4cc5-b319-ad1e928c3441"
"What foods have fiber?","61518962-96c1-474e-b0f4-7eac7f49cbf9"
"Gastritis","86444bbf-b58e-44c3-a3a7-9b18df3ec1b7"
"On this page:","c63ca844-a35c-468f-87b8-ffe17bbc6825"
"What is gastritis?","1496e60e-b7e9-4300-bf4d-9bd06f39abd3"
"What causes gastritis?","b6b123ce-0c60-4986-921c-ca77f7d81c85"
"What are the symptoms of gastritis?","b1422efe-0de6-43f6-8f33-e1241083bc6e"
"What are the complications of gastritis?","76953b75-b481-4611-b211-1deb7af3f6b1"
"How is gastritis diagnosed?","d2ec975b-1187-4b93-8565-cea4b827e479"
"How is gastritis treated?","b9621cd9-c5f4-4a83-9829-a71a8fe45814"
"Points to Remember","942abfe6-bf3c-4bc4-b05f-045bf0eed7ae"
"Hope through Research","f315e40d-a762-46e4-a4b7-dcc6a243e7cb"
"For More Information","78c03864-b880-4873-a0a4-f96f53e4387f"
"American College of Gastroenterology","f4c6029e-b870-4c43-b85c-ac300ed6a84d"
"American Gastroenterological Association","cee4970d-078b-4d4b-8df0-90324df51e95"
"Acknowledgments","f5785ff3-d44c-472c-82ba-c94ff653c447"
"National Digestive Diseases Information Clearinghouse","9285e9ab-750f-46de-9bd3-997904369b12"
"Gastroesophageal Reflux","a39e15d1-7c4d-46b2-90d9-a598678a513f"
"What is GERD?","cb94a49c-54b4-4c9d-9e6d-43fe148d382f"
"What causes GERD in children and adolescents?","8a02be94-1b80-4978-bfe5-5fb6110aaf27"
"What is the gastrointestinal (GI) tract?","c132df0f-c72d-47d1-9872-7b3bb001fc27"
"What are the symptoms of GERD in children and adolescents?","1177c3aa-2671-4189-b996-e123394f0ff1"
"How is GERD diagnosed in children and adolescents?","29831b6d-c5eb-4ec5-956b-9853611d1991"
"Upper GI series.","b3be1b11-b25b-42e2-9ee0-34d81f29a8e3"
"Upper endoscopy.","dbdc9576-e5b0-47c4-b07c-83f64a4c63e5"
"Esophageal pH monitoring.","aa6d0a10-de63-40af-a987-93dcd993b8e5"
"How is GERD treated in children and adolescents?","cb79a02b-c440-40ce-93de-191bb8d2aeb1"
"Lifestyle Changes","4e51aa46-a521-4cb2-a931-01176d5c4891"
"Medications","14aa5cab-a8bb-4d3b-9ccc-073b06b2ab87"
"Surgery","424e896a-a629-46bf-8a85-8bade88d5a51"
"What are the long-term complications of GERD for children and adolescents?","e1d482c7-e761-4d9e-8420-202c183364aa"
"Eating, Diet, and Nutrition","cf8cb21c-8609-47e0-94b9-d86d51c2c69d"
"Points to Remember","55fe7c84-2127-42f7-9a75-8bb060f04f9b"
"Hope through Research","155503ab-1d7f-4860-bacf-ce90b8137f7d"
"Anatomic Problems of the Lower GI Tract","464ecb7d-c7e4-4cab-9bec-af255c8fc39e"
"On this page:","0f2d4cc0-356f-40ef-a322-80dafc98db60"
"What are anatomic problems of the lower gastrointestinal (GI) tract?","cf233292-2da0-4d61-b6d2-d13f6309e6b0"
"How does the lower GI tract develop?","09114e9e-e2f1-4131-9c00-bc6d65cf1381"
"What is malrotation?","12d8f576-bd46-4067-81bc-c216692bbe9d"
"Symptoms of Malrotation","54072dfd-8ba3-4840-8c6d-a12dd565803f"
"Diagnosis and Treatment of Malrotation","7bf40ed3-062d-4912-898b-421e4799ee67"
"","bbbe6fc1-e8b6-4485-bab3-29e032f02e13"
"","d723c631-4ad5-4453-95e0-4d2096e0d335"
"","f1a1b3b1-63b5-42f3-bf13-dc64df56d44b"
"","85a90140-d4f0-4f30-9be2-44a55f63cd5b"
"","9fcdef24-b164-4091-bc0c-fa40282c4200"
"","787c45fe-eac1-4f9e-8c36-055d56e3c31e"
"","7dd4e5a1-c4d1-4f86-a527-7f52f532f2e8"
"","369423ba-fd55-4ea3-8058-caed6b246ec7"
"","e28a8bc4-6aad-4b61-9801-11e6eaa7724a"
"","4060845b-1974-4082-8a07-b9d6caac1d43"
"","3981c247-6558-4be8-9181-dde5d2e03b0f"
"","a5479f47-3f4c-451f-91be-914e443c9bba"
"","db55f2d1-36f3-4a52-8094-392eeee6de08"
"","adfbdcb3-1558-4d2f-a380-6315dcb60a7f"
"","acb18e40-fef5-4863-9c62-5aea97ef786f"
"","b79d5bff-48d2-494b-9fd9-05555d77b671"
"","69434148-073a-47e6-b158-d4ba63a30a15"
"","f475a1b8-bee0-49ff-b504-f2d76e7303e4"
"","0815efbd-bc65-44f8-a191-3892ebda9128"
"","ff4ac937-b9c1-4883-af56-8e0b6ea02bb7"
"Ménétrier's Disease","5167911b-6780-49ef-8bbf-5d8f6b5cb439"
"On this page:","7180012a-86e2-4d26-8016-dbff46b140d0"
"What is Ménétrier’s disease?","086703c4-a5b1-4447-9aec-1c9636105e91"
"What causes Ménétrier’s disease?","3a88dc68-3418-48ff-9e8d-80483193b7a5"
"Helicobacter pylori:","4227ca34-ec1a-4b56-b6f3-8d1e09f5a166"
"Who gets Ménétrier’s disease?","c06c794d-310e-4290-a6d3-4a8f9ac0dad6"
"What are the signs and symptoms of Ménétrier’s disease?","98b9a146-7840-4e34-9b68-8f3db6c4ad2d"
"How is Ménétrier’s disease diagnosed?","2380c41d-9033-481a-b6bc-325c90dfbdb4"
"Medical and family history.","522d44dc-ef9a-4ea5-b60b-b16e6ca9c2a9"
"Physical exam.","d30758b1-c7a2-4472-86fc-03dbbafc9049"
"CT scan.","f7c95f7d-51d3-4ab7-8bfd-45fda621f208"
"Upper GI endoscopy.","e3710990-f990-4ae7-bc23-8507e7e062cc"
"Biopsy.","fa53de9b-e3ec-46d2-ae78-3513294ec7a0"
"Blood test.","5fc2018f-dde6-4fdf-b45c-df93c85f091d"
"How is Ménétrier’s disease treated?","5c439809-de3a-4416-8e78-87b0af2ed403"
"Medications","af645886-81b8-4408-9829-58f48d356810"
"Intravenous Protein and Blood Transfusions","f727fa61-668c-4fc5-ba46-9ab0a6ae2198"
"Surgery","d2651b4f-279b-4d5b-9478-74dcfd2ca877"
"Eating, Diet, and Nutrition","2fa4b12d-067d-4cf0-bfc5-2de43e30b1a2"
"Points to Remember","2fa29017-2eba-425a-8ba8-e8456b8ac5e4"
"Hope through Research","ab3cd309-af21-4700-a3c7-5be9acc6a63b"
"For More Information","d104a5b9-d6ad-4870-80da-071c38432323"
"National Organization for Rare Disorders","925f49f6-92db-4f80-bcda-364266238c08"
"Acknowledgments","2ddcd9be-edb5-48b6-ace5-f820f06ae290"
"National Digestive Diseases Information Clearinghouse","f20dac6a-6f12-4795-87d6-26653cb6de2b"
"Alagille Syndrome","ebf60442-9947-49e6-94fd-91888361d0cb"
"On this page:","1fe4d76f-1f9c-4d70-8973-959a221aaf03"
"What is Alagille syndrome?","c1c81f72-a880-495b-ad87-fa0c3f84b098"
"What causes Alagille syndrome?","d4894480-1ccb-4ee7-83d2-ed50060748ce"
"What are the symptoms of Alagille syndrome?","6d873e90-71a1-4391-86c4-cba4fdcccd08"
"Liver Symptoms","3708d25b-8aa1-4adb-89e5-fc55c5ebe39f"
"Jaundice.","06af0e47-8299-4711-837a-0428e63a9272"
"Pruritus.","b615c2c1-029b-4b33-85ed-97025a361156"
"Malabsorption and growth problems.","3e8480ed-fc94-4c69-ac82-99408892ec24"
"Xanthomas.","416b2306-02b1-4357-a85a-94878d2d9e66"
"Unique Symptoms","c2b1e2ad-cd24-4203-9bd2-16a9c4886386"
"Heart.","849b0d02-7d55-4e4e-9dd0-71ba89aecdea"
"Face.","b3f340cf-a759-433f-83b0-7dd810071d7d"
"Eyes.","f02842af-cc83-43b6-b05f-14a06ddf7a19"
"Skeleton.","f12224d3-ff77-4bb4-bbf0-ae7d3da38da0"
"Kidneys.","711c7a92-c420-4590-bfa1-f02ef61aec95"
"Spleen.","df492fae-ffd5-469e-937f-f3e4c9b6958c"
"Blood vessels.","c26b7a32-e76e-4a0d-a125-9797a5ade890"
"How is Alagille syndrome diagnosed?","5e70165d-8fd5-4da4-ac9f-3871862e2cd7"
"How is Alagille syndrome treated?","ff462244-7bad-43fa-839a-4e1caec9780d"
"Pruritus.","77ad5d5c-e363-464d-bbc0-07723c40f06f"
"Malabsorption and growth problems.","f1796689-d0fb-4fbc-a92d-3eb19e49408e"
"Xanthomas.","92fcfa20-19b4-4e8d-a277-2c383c676c41"
"Liver failure.","b5750583-001e-45c3-a352-82c1f318fa97"
"What is the long-term outlook for people with Alagille syndrome?","d3b016dc-b6b3-4004-be87-5caee63d16e4"
"Points to Remember","5e8547e2-31d3-4f3d-99f7-424f4e834322"
"Hope through Research","0aade59e-df4e-471a-9545-754f5c49bc04"
"For More Information","6a7b116c-f4d3-49fb-95fe-96bfdcd2d261"
"Alagille Syndrome Alliance","d51c4ee7-b33f-47a6-8410-310ee1737756"
"American Liver Foundation","9aa18422-de25-424d-b7d6-b0e551b30182"
"Children's Liver Association for Support Services","f2caa45e-ff28-4f1f-82c2-decfc6694502"
"United Network for Organ Sharing","bd282d83-395d-43c1-a0d1-a46bc1743f21"
"Acknowledgments","0ce2c6c8-46d3-4594-b7a3-475e9aafe56e"
"National Digestive Diseases Information Clearinghouse","a1dc6e59-ee81-48b1-8f63-f88286e86d50"
"Autoimmune Hepatitis","60619501-ac10-4268-9f53-cf994a8fb76e"
"On this page:","144440e8-8d45-43f4-8f6c-edd689a74348"
"What is autoimmune hepatitis?","2af9fdf3-0674-4f2f-91af-374b82ce2cdb"
"What are autoimmune diseases?","1b9a7198-6f36-4fa0-9736-93ca20fdc91b"
"What causes autoimmune hepatitis?","8730c36c-4e94-427f-a622-331078647641"
"Who is more likely to develop autoimmune hepatitis?","4af8b00e-4536-458d-bc6a-d0eeadb6fc28"
"What are the types of autoimmune hepatitis?","781537b3-2083-4c78-aa73-092bd4dd24d4"
"What are the symptoms of autoimmune hepatitis?","fb4e0b36-c998-482f-95d4-d1a866da6e12"
"How is autoimmune hepatitis diagnosed?","db755445-da02-43ff-931b-a195c83c61d8"
"Blood tests.","32c7ad1f-818e-4509-9c06-adf327772660"
"Liver biopsy.","dc65a0f2-f4c2-4920-8aac-828c2f8f85ae"
"How is autoimmune hepatitis treated?","7f1fbaa6-f77a-4837-9386-0bde752e3134"
"Medications","03dd0d68-f1c0-421c-adcb-4202250f2769"
"Corticosteroids.","be0a4c09-6882-4b12-bc94-808ab36d9411"
"Immune system suppressors.","ca90e42d-53f9-454a-b2f1-eb8c3c01ff37"
"Liver Transplant","8c39f02c-6ddc-414f-bef4-d28095bbcd9e"
"What is a possible complication of autoimmune hepatitis and cirrhosis?","c0df4d47-5884-4282-add4-24173c3f1504"
"Eating, Diet, and Nutrition","56131193-e99b-431b-8e71-1fc3c4e7f300"
"Points to Remember","dd4bf14c-73e2-4be0-a7f1-7a50d9be41da"
"Hope through Research","3125319a-d008-43a4-abeb-dc56dab31203"
"For More Information","ef6e9f6a-86d0-41f2-b542-aa0e952ba457"
"American Association for the Study of Liver Diseases","dc2cb71e-f162-4a46-996d-235eab76fad0"
"American Liver Foundation","b0563053-2cfd-429e-a436-a923486c1bf8"
"Acknowledgments","cd25abc4-4793-400d-8097-8d42b0709786"
"National Digestive Diseases Information Clearinghouse","b277735e-df30-4629-8369-1fa2c2eac093"
"H. pylori and Peptic Ulcers - National Digestive Diseases Information Clearinghouse","2993bd58-8a3d-4e0d-b37b-ce1f73335064"
"H. pylori and Peptic Ulcers","55fd1043-b1e5-4258-a690-c677d9f03993"
"On this page:","44e2bf90-d5e3-412a-81b2-b92addee18a1"
"What is a peptic ulcer?","9c7e424b-bb0d-4f22-872b-11ffb37ef3d5"
"What causes peptic ulcers?","f813a30b-df37-4127-8ba5-725f66e555b2"
"What isH. pylori?","89a856a5-f896-4901-ab21-9928af855913"
"How isH. pylori spread?","24437bec-e59c-4566-926f-0c6b15a9e620"
"What are the symptoms of a peptic ulcer?","fa3292b1-7333-4701-977f-c27ea6e0809f"
"Emergency Symptoms","26c48d23-7133-4ac1-b24a-417e1b3d8df8"
"How is anH. pylori-induced ulcer diagnosed?","09af1186-b49d-400d-99e9-0691dc76d386"
"Noninvasive Techniques","4a02812e-117b-4bfa-bb53-8f99f599cc98"
"Blood test.","2b2a3140-6a36-409c-a7d2-04817758f45b"
"Urea breath test.","be0af1a9-3531-460c-b7c1-87e9c1f1739c"
"Stool antigen test.","96dfdcd4-b0d1-4f90-9196-558e658aef6d"
"Invasive Techniques","3479763a-fd31-48ba-af01-adcbb42d1368"
"How is anH. pylori-induced ulcer treated?","71ac81ad-7426-4f61-8aaf-3b8a67b44eaf"
"Can antacids or milk help a peptic ulcer heal?","81372568-7bcd-40ba-a283-7f1c8d6b4d44"
"CanH. pylori infection be prevented?","0c16a89a-27dc-42df-ab92-711214a59ae2"
"Points to Remember","fd25a103-5377-4d38-a1f9-e59f0d32fa0e"
"Hope through Research","f019de41-5d4d-44dc-91ce-797eee131748"
"For More Information","c97a4860-b2f6-421a-a325-960851fed97a"
"American College of Gastroenterology","91456bee-8c13-4fa2-b660-802ea0a7d6a7"
"American Gastroenterological Association","8bcb6e0c-8864-449e-abfe-39eb3c23a3c2"
"Acknowledgments","00be8671-1de7-40b4-9e66-0d6c44830ae0"
"National Digestive Diseases Information Clearinghouse","e94555d3-5365-4481-9ad7-70866f00764a"
"Gastroparesis","e995ae2c-484d-4cbe-b44c-dc806c682e5c"
"On this page:","1e12a6a6-a3db-4c7d-bdde-577a8ba91b73"
"What is gastroparesis?","9cc5a1f2-df49-4bca-b510-d4ee3ce74e33"
"What causes gastroparesis?","04393514-f2fa-4a08-b398-af9c96250835"
"What are the symptoms of gastroparesis?","248dd138-7b01-4d11-97f8-30a12749013a"
"How is gastroparesis diagnosed?","e1857e7f-2dda-4832-8dd0-c58eb3f095d3"
"How is gastroparesis treated?","ea3c17a2-e94e-4a06-a007-60e5058124e0"
"Eating, Diet, and Nutrition","3aee45da-edad-4d1f-a625-a848cbddefb0"
"Metoclopramide (Reglan).","fa85cbfd-e08f-472e-af78-f2c2c30d4e28"
"Erythromycin.","9b2527e3-2c84-48c3-b5bc-ef32acc9402c"
"Other medications.","2b5da25f-ddb1-4ae2-b734-cfc86eeca5a1"
"How is gastroparesis treated if a person has diabetes?","d0d112b1-aabf-499f-8a97-76fd79f559ba"
"What are the problems of gastroparesis?","967ca345-4dd0-40ef-8f3b-2dbe1553d294"
"Points to Remember","10abce9b-5ed9-4686-82b1-dc9663324a86"
"Hope through Research","73307866-e13d-41b4-adb1-687f12d61146"
"For More Information","e7a89eb0-acd1-4d7e-aa80-9c60225b33d1"
"American College of Gastroenterology","67b1e854-2880-473c-a8ce-4dfceb00f7d4"
"American Diabetes Association","3274c641-ed70-4227-aeca-362cee75512d"
"International Foundation for Functional Gastrointestinal Disorders","05bfb3c5-aaeb-4977-ab4b-33fba29c4918"
"Acknowledgments","1392a545-a3df-4bc7-b37f-a63e610fc644"
